Date,Value
45546	196
45547	147
45548	93
45549	87
45550	107
45551	185
45552	95
45553	84
45554	2210
45555	380
45556	217
45557	237
45558	153
45559	134
45560	120
45561	101
45562	1162
45563	628
45564	359
45565	232
